Year,YearEnd,State_Abbr,State,Value_Type,Value,Data_Value_Alt,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Sex,Income,Race/Ethnicity,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategoryId1,StratificationID1
2011,2011,NV,Nevada,Value,27.5,27.5,23.2,32.3,910.0,,45 - 54,,,,,OWS,OWS1,Q036,VALUE,32,AGEYR,AGEYR4554
2011,2011,NV,Nevada,Value,23.4,23.4,20.7,26.2,3005.0,,,,Female,,,OWS,OWS1,Q036,VALUE,32,SEX,FEMALE
2011,2011,NV,Nevada,Value,22.6,22.6,17.0,29.3,653.0,,,,,Data not reported,,OWS,OWS1,Q036,VALUE,32,INC,INCNR
2011,2011,NV,Nevada,Value,27.4,27.4,22.6,32.8,696.0,,35 - 44,,,,,OWS,OWS1,Q036,VALUE,32,AGEYR,AGEYR3544
2011,2011,NV,Nevada,Value,24.5,24.5,22.5,26.6,5205.0,Total,,,,,,OWS,OWS1,Q036,VALUE,32,OVR,OVERALL
2011,2011,NV,Nevada,Value,22.3,22.3,18.6,26.5,1274.0,,,,,"$75,000 or greater",,OWS,OWS1,Q036,VALUE,32,INC,INC75PLUS
2011,2011,NV,Nevada,Value,24.6,24.6,18.8,31.5,451.0,,,,,"Less than $15,000",,OWS,OWS1,Q036,VALUE,32,INC,INCLESS15
2011,2011,NV,Nevada,Value,23.1,23.1,19.8,26.8,1448.0,,,High school graduate,,,,OWS,OWS1,Q036,VALUE,32,EDU,EDUHSGRAD
2011,2011,NV,Nevada,Value,37.3,37.3,21.9,55.9,137.0,,,,,,2 or more races,OWS,OWS1,Q036,VALUE,32,RACE,RACE2PLUS
2011,2011,NV,Nevada,Value,25.5,25.5,22.5,28.7,2200.0,,,,Male,,,OWS,OWS1,Q036,VALUE,32,SEX,MALE
2011,2011,NV,Nevada,Value,27.4,27.4,23.9,31.1,1690.0,,,Some college or technical school,,,,OWS,OWS1,Q036,VALUE,32,EDU,EDUCOTEC
2011,2011,NV,Nevada,Value,29.1,29.1,23.5,35.3,466.0,,,,,,Hispanic,OWS,OWS1,Q036,VALUE,32,RACE,RACEHIS
2011,2011,NV,Nevada,Value,25.4,25.4,19.6,32.2,511.0,,,,,"$25,000 - $34,999",,OWS,OWS1,Q036,VALUE,32,INC,INC2535
2011,2011,NV,Nevada,Value,21.9,21.9,20.0,24.1,4037.0,,,,,,Non-Hispanic White,OWS,OWS1,Q036,VALUE,32,RACE,RACEWHT
2011,2011,NV,Nevada,Value,24.0,24.0,18.9,30.0,725.0,,,,,"$35,000 - $49,999",,OWS,OWS1,Q036,VALUE,32,INC,INC3550
2011,2011,NV,Nevada,Value,19.4,19.4,16.3,22.8,1717.0,,,College graduate,,,,OWS,OWS1,Q036,VALUE,32,EDU,EDUCOGRAD
2011,2011,NV,Nevada,Value,27.8,27.8,23.2,32.9,1193.0,,55 - 64,,,,,OWS,OWS1,Q036,VALUE,32,AGEYR,AGEYR5564
2011,2011,NV,Nevada,Value,18.1,18.1,15.0,21.7,1613.0,,65 or older,,,,,OWS,OWS1,Q036,VALUE,32,AGEYR,AGEYR65PLUS
